text,class
"రైతు భరోసా పథకం: తెలంగాణ ప్రభుత్వం దసరా, బతుకమ్మ పండుగలకు ముందే రైతులకు ఆర్థిక సహాయం అందించేందుకు అక్టోబర్ 1 నుండి ""రైతు భరోసా"" పథకాన్ని అమలు చేయనుంది.",1
"మహిళల ఆర్థిక సహాయం: తెలంగాణ మహాలక్ష్మి పథకం ద్వారా రాష్ట్రంలోని మహిళలకు నెలసరి ఆర్థిక సహాయం, రూ.500కు LPG సిలిండర్ వంటి ప్రయోజనాలు అందించబడుతున్నాయి.",1
"టీమిండియా వరల్డ్‌కప్ ఫైనల్‌కు చేరుకుంది: టీమిండియా వరల్డ్‌కప్ సెమీ ఫైనల్‌లో విజయం సాధించి, ఫైనల్‌కు చేరుకుంది.",1
పానీపూరి ఆరోగ్య సమస్యలు: పానీపూరి తినడం వల్ల ఆరోగ్య సమస్యలు ఏర్పడవచ్చని వైద్యులు హెచ్చరిస్తున్నారు. ,1
చెన్నకేశవ స్వామిని దర్శించుకున్న రాష్ట్ర వ్యవసాయ కమిషన్ సభ్యులు కేవీయన్ రెడ్డి: రాష్ట్ర వ్యవసాయ కమిషన్ సభ్యులు కేవీయన్ రెడ్డి చెన్నకేశవ స్వామిని దర్శించుకున్నారు.,1
"మంత్రుల ఎదుటే కొట్టుకున్న ఎమ్మెల్యేలు: కరీంనగర్‌లో మంత్రుల సమక్షంలోనే ఇద్దరు ఎమ్మెల్యేలు పరస్పరం గొడవపడ్డారు, ఇది రాజకీయ వర్గాల్లో చర్చనీయాంశంగా మారింది.",1
ఆడబిడ్డ నిధి పథకం 2024: ఆంధ్రప్రదేశ్ ప్రభుత్వం 18-59 ఏళ్ల మహిళలకు ప్రతినెలా ₹1500 ఆర్థిక సహాయం అందించే ఆడబిడ్డ నిధి పథకాన్ని ప్రారంభించింది.,1
"రైతు భరోసా పథకం: తెలంగాణ ప్రభుత్వం దసరా, బతుకమ్మ పండుగలకు ముందే రైతులకు ఆర్థిక సహాయం అందించేందుకు అక్టోబర్ 1 నుండి ""రైతు భరోసా"" పథకాన్ని అమలు చేయనుంది.",1
"మహిళల ఆర్థిక సహాయం: తెలంగాణ మహాలక్ష్మి పథకం ద్వారా రాష్ట్రంలోని మహిళలకు నెలసరి ఆర్థిక సహాయం, రూ.500కు LPG సిలిండర్ వంటి ప్రయోజనాలు అందించబడుతున్నాయి.",1
హైకోర్టు కీలక ఆదేశాలు: తెలంగాణ హైకోర్టు 16 ఏళ్లలోపు పిల్లలను రాత్రి 11 గంటల నుండి ఉదయం 11 గంటల వరకు థియేటర్లలోకి అనుమతించవద్దని ఆదేశించింది,1
"రూ. 5,000 నోటు విడుదలపై స్పష్టత: 2025లో రూ. 5,000 నోటు విడుదలవుతుందనే సోషల్ మీడియా ప్రచారంపై, రిజర్వ్ బ్యాంక్ ఆఫ్ ఇండియా (RBI) పెద్ద నోట్ల విడుదలకు ఎలాంటి ప్రణాళికలు లేవని స్పష్టం చేసింది。",1
నాగోబా జాతర ప్రారంభం: తెలంగాణలో కేస్లాపూర్‌లోని నాగోబా జాతర జనవరి 28 నుండి ఫిబ్రవరి 2 వరకు జరుగుతోంది. ఈ ఆదివాసీ పండుగలో మెస్రం వంశీయులు ప్రత్యేక పూజలు నిర్వహిస్తున్నారు。,1
"పూణేలో గులియన్-బారే సిండ్రోమ్ కేసులు: మహారాష్ట్రలోని పూణేలో అరుదైన న్యూరోలాజికల్ వ్యాధి గులియన్-బారే సిండ్రోమ్ కేసులు పెరుగుతున్నాయి, ఇప్పటికే 59 కేసులు నమోదయ్యాయి。",1
"అమెరికాలో మంచు తుపాను ప్రభావం: అమెరికాలో పెను మంచు తుపాను కారణంగా 6 కోట్ల మందికి పైగా ప్రజలు ప్రభావితమయ్యారు, ఏడు రాష్ట్రాల్లో అత్యవసర పరిస్థితి ప్రకటించారు。",1
"నిదురించు జహాపనా' చిత్రం విడుదల: ఆనంద్ వర్ధన్, నవామి గాయక్, రోష్ని సహోటా ప్రధాన పాత్రల్లో నటించిన 'నిదురించు జహాపనా' చిత్రం ఫిబ్రవరి 14, 2025న విడుదలైంది。",1
"ఫిబ్రవరి 22, 2025న జరిగిన ఛాంపియన్స్ ట్రోఫీ 2025లో ఆఫ్ఘనిస్తాన్ మరియు సౌత్ ఆఫ్రికా జట్ల మధ్య మ్యాచ్‌లో, సౌత్ ఆఫ్రికా విజయం సాధించింది. ఈ మ్యాచ్‌లో, ఆఫ్ఘనిస్తాన్ జట్టు తొలుత బ్యాటింగ్ చేసి, నిర్ణీత ఓవర్లలో 162 పరుగులు చేసింది. సౌత్ ఆఫ్రికా జట్టు ఈ లక్ష్యాన్ని సులభంగా చేధించి, విజయాన్ని అందుకుంది.",1
"పూణేలో గులియన్-బారే సిండ్రోమ్ కేసులు: మహారాష్ట్రలోని పూణేలో అరుదైన న్యూరోలాజికల్ వ్యాధి గులియన్-బారే సిండ్రోమ్ కేసులు పెరుగుతున్నాయి, ఇప్పటికే 59 కేసులు నమోదయ్యాయి。",1
అమెరికాలో మంచు తుపాను ప్రభావం: అమెరికాలో పెను మంచు తుపాను కారణంగా 6 కోట్ల మందికి పైగా ప్రజలు ప్రభావితమయ్యారు.,1
"రామం రాఘవం' విడుదల: సముద్రఖని, ధన్‌రాజ్ కొరనాని ప్రధాన పాత్రల్లో నటించిన 'రామం రాఘవం' ",1
ఎంఎస్ ధోనీ రిటైర్మెంట్‌పై వ్యాఖ్యలు: ఇండియన్ ప్రీమియర్ లీగ్ (IPL) లో మాత్రమే పాల్గొంటున్న ఎంఎస్ ధోనీ.,1
"రక్ష వీరమ్ దర్శకత్వంలో రూపొందిన 'పోతుగడ్డ' చిత్రం జనవరి 30, 2025న ఈటీవీ విన్‌లో విడుదలైంది. ",1
చెన్నకేశవ స్వామిని దర్శించుకున్న రాష్ట్ర వ్యవసాయ కమిషన్ సభ్యులు కేవీయన్ రెడ్డి,1
